MonthYear,GPI_score
200803,2.101
200804,2.0989166666666668
200805,2.0968333333333335
200806,2.09475
200807,2.0926666666666667
200808,2.0905833333333335
200809,2.0885
200810,2.0864166666666666
200811,2.0843333333333334
200812,2.08225
200901,2.080166666666667
200902,2.0780833333333333
200903,2.076
200904,2.082666666666667
200905,2.0893333333333333
200906,2.096
200907,2.102666666666667
200908,2.1093333333333333
200909,2.116
200910,2.122666666666667
200911,2.1293333333333333
200912,2.136
201001,2.142666666666667
201002,2.1493333333333333
201003,2.156
201004,2.1560833333333336
201005,2.1561666666666666
201006,2.15625
201007,2.1563333333333334
201008,2.156416666666667
201009,2.1565000000000003
201010,2.1565833333333333
201011,2.1566666666666667
201012,2.15675
201101,2.156833333333333
201102,2.1569166666666666
201103,2.157
201104,2.1595833333333334
201105,2.162166666666667
201106,2.16475
201107,2.1673333333333336
201108,2.169916666666667
201109,2.1725000000000003
201110,2.1750833333333333
201111,2.1776666666666666
201112,2.18025
201201,2.1828333333333334
201202,2.185416666666667
201203,2.188
201204,2.185166666666667
201205,2.1823333333333332
201206,2.1795
201207,2.1766666666666667
201208,2.1738333333333335
201209,2.1710000000000003
201210,2.1681666666666666
201211,2.1653333333333333
201212,2.1625
201301,2.1596666666666664
201302,2.156833333333333
201303,2.154
201304,2.1483333333333334
201305,2.1426666666666665
201306,2.137
201307,2.131333333333333
201308,2.1256666666666666
201309,2.12
201310,2.114333333333333
201311,2.1086666666666667
201312,2.1029999999999998
201401,2.0973333333333333
201402,2.0916666666666663
201403,2.086
201404,2.081083333333333
201405,2.0761666666666665
201406,2.07125
201407,2.066333333333333
201408,2.0614166666666662
201409,2.0564999999999998
201410,2.0515833333333333
201411,2.0466666666666664
201412,2.0417499999999995
201501,2.036833333333333
201502,2.0319166666666666
201503,2.0269999999999997
201504,2.028583333333333
201505,2.0301666666666662
201506,2.0317499999999997
201507,2.033333333333333
201508,2.0349166666666663
201509,2.0364999999999998
201510,2.0380833333333332
201511,2.0396666666666663
201512,2.04125
201601,2.0428333333333333
201602,2.0444166666666663
201603,2.046
201604,2.0451666666666664
201605,2.0443333333333333
201606,2.0435
201607,2.0426666666666664
201608,2.0418333333333334
201609,2.041
201610,2.0401666666666665
201611,2.0393333333333334
201612,2.0385
201701,2.0376666666666665
201702,2.0368333333333335
201703,2.036
201704,2.0395
201705,2.043
201706,2.0465
201707,2.0500000000000003
201708,2.0535
201709,2.0570000000000004
201710,2.0605
201711,2.064
201712,2.0675000000000003
201801,2.071
201802,2.0745000000000005
201803,2.0780000000000003
201804,2.0821666666666667
201805,2.0863333333333336
201806,2.0905000000000005
201807,2.094666666666667
201808,2.0988333333333333
201809,2.103
201810,2.107166666666667
201811,2.1113333333333335
201812,2.1155
201901,2.119666666666667
201902,2.1238333333333337
201903,2.128
201904,2.127416666666667
201905,2.1268333333333334
201906,2.12625
201907,2.1256666666666666
201908,2.1250833333333334
201909,2.1245000000000003
201910,2.1239166666666667
201911,2.1233333333333335
201912,2.12275
202001,2.1221666666666668
202002,2.121583333333333
202003,2.121
202004,2.1165833333333333
202005,2.1121666666666665
202006,2.1077500000000002
202007,2.1033333333333335
202008,2.0989166666666668
202009,2.0945
202010,2.0900833333333333
202011,2.0856666666666666
202012,2.08125
202101,2.0768333333333335
202102,2.072416666666667
202103,2.068
