MonthYear,GPI_score
200803,2.19
200804,2.187333333333333
200805,2.1846666666666668
200806,2.182
200807,2.179333333333333
200808,2.1766666666666667
200809,2.174
200810,2.171333333333333
200811,2.1686666666666667
200812,2.166
200901,2.163333333333333
200902,2.1606666666666667
200903,2.158
200904,2.1599166666666667
200905,2.161833333333333
200906,2.16375
200907,2.1656666666666666
200908,2.1675833333333334
200909,2.1695
200910,2.1714166666666666
200911,2.1733333333333333
200912,2.17525
201001,2.1771666666666665
201002,2.1790833333333333
201003,2.181
201004,2.1918333333333333
201005,2.2026666666666666
201006,2.2135
201007,2.2243333333333335
201008,2.2351666666666667
201009,2.246
201010,2.2568333333333332
201011,2.2676666666666665
201012,2.2785
201101,2.2893333333333334
201102,2.3001666666666667
201103,2.311
201104,2.31225
201105,2.3135
201106,2.31475
201107,2.316
201108,2.31725
201109,2.3185000000000002
201110,2.31975
201111,2.321
201112,2.32225
201201,2.3235
201202,2.32475
201203,2.326
201204,2.3205833333333334
201205,2.315166666666667
201206,2.30975
201207,2.3043333333333336
201208,2.298916666666667
201209,2.2935
201210,2.2880833333333332
201211,2.2826666666666666
201212,2.27725
201301,2.2718333333333334
201302,2.2664166666666667
201303,2.261
201304,2.2600000000000002
201305,2.2590000000000003
201306,2.258
201307,2.257
201308,2.2560000000000002
201309,2.255
201310,2.254
201311,2.253
201312,2.2520000000000002
201401,2.2510000000000003
201402,2.25
201403,2.249
201404,2.2473333333333336
201405,2.2456666666666667
201406,2.244
201407,2.2423333333333333
201408,2.240666666666667
201409,2.239
201410,2.2373333333333334
201411,2.235666666666667
201412,2.234
201501,2.2323333333333335
201502,2.2306666666666666
201503,2.229
201504,2.2329166666666667
201505,2.2368333333333332
201506,2.2407500000000002
201507,2.244666666666667
201508,2.2485833333333334
201509,2.2525
201510,2.2564166666666665
201511,2.260333333333333
201512,2.2642499999999997
201601,2.2681666666666667
201602,2.2720833333333332
201603,2.276
201604,2.27325
201605,2.2704999999999997
201606,2.26775
201607,2.265
201608,2.26225
201609,2.2595
201610,2.2567500000000003
201611,2.254
201612,2.25125
201701,2.2485000000000004
201702,2.24575
201703,2.2430000000000003
201704,2.2402500000000005
201705,2.2375000000000003
201706,2.23475
201707,2.232
201708,2.2292500000000004
201709,2.2265
201710,2.22375
201711,2.221
201712,2.2182500000000003
201801,2.2155
201802,2.2127499999999998
201803,2.21
201804,2.2145
201805,2.219
201806,2.2235
201807,2.228
201808,2.2325
201809,2.237
201810,2.2415000000000003
201811,2.246
201812,2.2505
201901,2.2550000000000003
201902,2.2595
201903,2.2640000000000002
201904,2.26425
201905,2.2645
201906,2.2647500000000003
201907,2.265
201908,2.26525
201909,2.2655000000000003
201910,2.26575
201911,2.266
201912,2.26625
202001,2.2664999999999997
202002,2.26675
202003,2.267
202004,2.261
202005,2.255
202006,2.2489999999999997
202007,2.243
202008,2.237
202009,2.231
202010,2.2249999999999996
202011,2.219
202012,2.213
202101,2.207
202102,2.2009999999999996
202103,2.195
