MonthYear,GPI_score
200803,1.7690000000000001
200804,1.7691666666666668
200805,1.7693333333333334
200806,1.7695
200807,1.7696666666666667
200808,1.7698333333333334
200809,1.77
200810,1.7701666666666667
200811,1.7703333333333333
200812,1.7705
200901,1.7706666666666666
200902,1.7708333333333333
200903,1.771
200904,1.7865833333333332
200905,1.8021666666666667
200906,1.81775
200907,1.8333333333333333
200908,1.8489166666666668
200909,1.8645
200910,1.8800833333333333
200911,1.8956666666666668
200912,1.9112500000000001
201001,1.9268333333333334
201002,1.942416666666667
201003,1.9580000000000002
201004,1.957
201005,1.9560000000000002
201006,1.955
201007,1.9540000000000002
201008,1.953
201009,1.952
201010,1.951
201011,1.95
201012,1.949
201101,1.948
201102,1.947
201103,1.946
201104,1.9483333333333333
201105,1.9506666666666665
201106,1.9529999999999998
201107,1.9553333333333334
201108,1.9576666666666667
201109,1.96
201110,1.9623333333333333
201111,1.9646666666666666
201112,1.967
201201,1.9693333333333334
201202,1.9716666666666667
201203,1.974
201204,1.97
201205,1.966
201206,1.962
201207,1.958
201208,1.954
201209,1.95
201210,1.946
201211,1.942
201212,1.938
201301,1.934
201302,1.93
201303,1.926
201304,1.9311666666666667
201305,1.9363333333333332
201306,1.9415
201307,1.9466666666666668
201308,1.9518333333333333
201309,1.957
201310,1.9621666666666668
201311,1.9673333333333334
201312,1.9725000000000001
201401,1.977666666666667
201402,1.9828333333333334
201403,1.9880000000000002
201404,1.9858333333333336
201405,1.983666666666667
201406,1.9815
201407,1.9793333333333334
201408,1.9771666666666667
201409,1.975
201410,1.9728333333333334
201411,1.9706666666666668
201412,1.9685000000000001
201501,1.9663333333333333
201502,1.9641666666666666
201503,1.962
201504,1.9617499999999999
201505,1.9615
201506,1.96125
201507,1.961
201508,1.96075
201509,1.9605000000000001
201510,1.96025
201511,1.96
201512,1.95975
201601,1.9595
201602,1.9592500000000002
201603,1.959
201604,1.9574166666666668
201605,1.9558333333333333
201606,1.95425
201607,1.9526666666666668
201608,1.9510833333333333
201609,1.9495
201610,1.9479166666666667
201611,1.9463333333333332
201612,1.94475
201701,1.9431666666666667
201702,1.9415833333333332
201703,1.94
201704,1.93725
201705,1.9344999999999999
201706,1.9317499999999999
201707,1.9289999999999998
201708,1.9262499999999998
201709,1.9234999999999998
201710,1.92075
201711,1.918
201712,1.91525
201801,1.9124999999999999
201802,1.9097499999999998
201803,1.9069999999999998
201804,1.9075833333333332
201805,1.9081666666666666
201806,1.90875
201807,1.9093333333333333
201808,1.9099166666666667
201809,1.9104999999999999
201810,1.9110833333333332
201811,1.9116666666666666
201812,1.91225
201901,1.9128333333333334
201902,1.9134166666666668
201903,1.9140000000000001
201904,1.90975
201905,1.9055000000000002
201906,1.90125
201907,1.8970000000000002
201908,1.8927500000000002
201909,1.8885
201910,1.8842500000000002
201911,1.8800000000000001
201912,1.8757500000000003
202001,1.8715000000000002
202002,1.8672500000000003
202003,1.8630000000000002
202004,1.8638333333333335
202005,1.864666666666667
202006,1.8655000000000002
202007,1.8663333333333334
202008,1.8671666666666669
202009,1.868
202010,1.8688333333333333
202011,1.8696666666666668
202012,1.8705
202101,1.8713333333333333
202102,1.8721666666666668
202103,1.873
