MonthYear,GPI_score
200803,1.652
200804,1.6525833333333333
200805,1.6531666666666667
200806,1.65375
200807,1.6543333333333332
200808,1.6549166666666666
200809,1.6555
200810,1.6560833333333334
200811,1.6566666666666667
200812,1.65725
200901,1.6578333333333333
200902,1.6584166666666667
200903,1.659
200904,1.65475
200905,1.6505
200906,1.64625
200907,1.6420000000000001
200908,1.63775
200909,1.6335000000000002
200910,1.62925
200911,1.625
200912,1.6207500000000001
201001,1.6165
201002,1.6122500000000002
201003,1.608
201004,1.60575
201005,1.6035000000000001
201006,1.60125
201007,1.599
201008,1.5967500000000001
201009,1.5945
201010,1.59225
201011,1.59
201012,1.58775
201101,1.5855
201102,1.58325
201103,1.581
201104,1.5901666666666667
201105,1.5993333333333333
201106,1.6084999999999998
201107,1.6176666666666666
201108,1.6268333333333334
201109,1.636
201110,1.6451666666666664
201111,1.6543333333333332
201112,1.6635
201201,1.6726666666666665
201202,1.681833333333333
201203,1.6909999999999998
201204,1.6876666666666664
201205,1.6843333333333332
201206,1.6809999999999998
201207,1.6776666666666666
201208,1.6743333333333332
201209,1.6709999999999998
201210,1.6676666666666666
201211,1.6643333333333332
201212,1.661
201301,1.6576666666666666
201302,1.6543333333333334
201303,1.651
201304,1.6503333333333334
201305,1.6496666666666666
201306,1.649
201307,1.6483333333333334
201308,1.6476666666666666
201309,1.647
201310,1.6463333333333334
201311,1.6456666666666666
201312,1.645
201401,1.6443333333333334
201402,1.6436666666666666
201403,1.643
201404,1.6474166666666668
201405,1.6518333333333333
201406,1.65625
201407,1.6606666666666667
201408,1.6650833333333332
201409,1.6695
201410,1.6739166666666667
201411,1.6783333333333332
201412,1.68275
201501,1.6871666666666667
201502,1.6915833333333332
201503,1.696
201504,1.7004166666666667
201505,1.7048333333333332
201506,1.70925
201507,1.7136666666666667
201508,1.7180833333333334
201509,1.7225000000000001
201510,1.7269166666666667
201511,1.7313333333333334
201512,1.7357500000000001
201601,1.7401666666666666
201602,1.7445833333333334
201603,1.749
201604,1.7551666666666668
201605,1.7613333333333334
201606,1.7675
201607,1.7736666666666667
201608,1.7798333333333334
201609,1.786
201610,1.792166666666667
201611,1.7983333333333336
201612,1.8045000000000002
201701,1.8106666666666669
201702,1.8168333333333335
201703,1.8230000000000002
201704,1.8236666666666668
201705,1.8243333333333336
201706,1.8250000000000002
201707,1.8256666666666668
201708,1.8263333333333334
201709,1.827
201710,1.8276666666666668
201711,1.8283333333333334
201712,1.829
201801,1.8296666666666668
201802,1.8303333333333334
201803,1.831
201804,1.8279166666666666
201805,1.8248333333333333
201806,1.82175
201807,1.8186666666666667
201808,1.8155833333333333
201809,1.8125
201810,1.8094166666666667
201811,1.8063333333333333
201812,1.80325
201901,1.8001666666666667
201902,1.7970833333333334
201903,1.794
201904,1.7880833333333335
201905,1.7821666666666667
201906,1.77625
201907,1.7703333333333333
201908,1.7644166666666667
201909,1.7585000000000002
201910,1.7525833333333334
201911,1.7466666666666668
201912,1.74075
202001,1.7348333333333334
202002,1.7289166666666667
202003,1.723
202004,1.7200833333333334
202005,1.7171666666666667
202006,1.71425
202007,1.7113333333333334
202008,1.7084166666666667
202009,1.7055000000000002
202010,1.7025833333333336
202011,1.6996666666666669
202012,1.6967500000000002
202101,1.6938333333333335
202102,1.6909166666666668
202103,1.6880000000000002
