,Variable,Importance,MonthYear
0,event_count_10,0.02554080262780189,201402
1,event_count_11,0.011116558685898779,201402
2,event_count_12,0.005256458651274443,201402
3,event_count_13,0.0012356630759313705,201402
4,event_count_14,0.0,201402
5,event_count_15,0.008745608851313591,201402
6,event_count_16,0.04258768633008003,201402
7,event_count_17,0.0,201402
8,event_count_20,0.1043754518032074,201402
9,event_count_23,0.0123481759801507,201402
10,event_count_25,0.0034440441522747283,201402
11,event_count_26,0.0046067824587225905,201402
12,event_count_30,0.003776610363274813,201402
13,event_count_31,0.005334487184882164,201402
14,event_count_33,0.0,201402
15,event_count_35,0.09813766926527023,201402
16,event_count_36,0.051104050129652016,201402
17,event_count_40,0.001934403902851045,201402
18,event_count_42,0.01257778238505125,201402
19,event_count_43,0.0,201402
20,event_count_46,0.007723698858171701,201402
21,event_count_50,0.002370391273871064,201402
22,event_count_51,0.006656207609921694,201402
23,event_count_57,0.00987283606082201,201402
24,event_count_60,0.0,201402
25,event_count_61,0.05527453869581223,201402
26,event_count_70,0.0,201402
27,event_count_71,0.1256967931985855,201402
28,event_count_72,0.014065477065742016,201402
29,event_count_73,0.0035825741942971945,201402
30,event_count_80,0.008443482220172882,201402
31,event_count_83,0.02278241328895092,201402
32,event_count_84,0.00438271276652813,201402
33,event_count_87,0.0,201402
34,event_count_90,0.0,201402
35,event_count_100,0.0008026030263863504,201402
36,event_count_110,0.0,201402
37,event_count_111,0.010598229244351387,201402
38,event_count_112,0.0688086673617363,201402
39,event_count_114,0.0,201402
40,event_count_120,0.013248173519968988,201402
41,event_count_125,0.006024951115250588,201402
42,event_count_128,0.026198744773864743,201402
43,event_count_130,0.07103243470191956,201402
44,event_count_138,0.013126987032592295,201402
45,event_count_141,0.010291775688529016,201402
46,event_count_154,0.0,201402
47,event_count_160,0.0,201402
48,event_count_171,0.005886830389499664,201402
49,event_count_172,0.06259612739086151,201402
50,event_count_173,0.011293889954686165,201402
51,event_count_180,0.039767324924468994,201402
52,event_count_182,0.0,201402
53,event_count_190,0.007349941879510878,201402
54,event_count_192,0.0,201402
55,event_count_193,0.0,201402
56,event_count_10,0.015519572421908382,201403
57,event_count_11,0.021727805957198143,201403
58,event_count_12,0.0014931288314983249,201403
59,event_count_13,0.002511328086256981,201403
60,event_count_14,0.0,201403
61,event_count_15,0.0066018952056765565,201403
62,event_count_16,0.05609291419386864,201403
63,event_count_17,0.0,201403
64,event_count_20,0.11540670692920685,201403
65,event_count_23,0.030930988490581512,201403
66,event_count_25,0.00210561603307724,201403
67,event_count_26,0.0047197253443300715,201403
68,event_count_30,0.004831434693187475,201403
69,event_count_31,0.003310044528916478,201403
70,event_count_33,0.0,201403
71,event_count_35,0.14864273369312286,201403
72,event_count_36,0.034691322594881065,201403
73,event_count_40,0.006126543041318655,201403
74,event_count_42,0.013511134311556816,201403
75,event_count_43,0.0,201403
76,event_count_46,0.0066899131052196035,201403
77,event_count_50,0.0,201403
78,event_count_51,0.008739241398870945,201403
79,event_count_57,0.0066653355024755,201403
80,event_count_60,0.0,201403
81,event_count_61,0.05452567711472511,201403
82,event_count_70,0.0,201403
83,event_count_71,0.07964752614498137,201403
84,event_count_72,0.010004080832004549,201403
85,event_count_73,0.0017015556804835794,201403
86,event_count_80,0.021162092685699463,201403
87,event_count_83,0.010302304290235044,201403
88,event_count_84,0.00244724377989769,201403
89,event_count_87,0.0,201403
90,event_count_90,0.0,201403
91,event_count_100,0.0018278150819242,201403
92,event_count_110,0.0,201403
93,event_count_111,0.005099066998809576,201403
94,event_count_112,0.07884617894887924,201403
95,event_count_114,0.0,201403
96,event_count_120,0.01122826524078846,201403
97,event_count_125,0.0020870978478342295,201403
98,event_count_128,0.0207181703299284,201403
99,event_count_130,0.050993744283914566,201403
100,event_count_138,0.005944044794887304,201403
101,event_count_141,0.010024079121649264,201403
102,event_count_154,0.0,201403
103,event_count_160,0.0,201403
104,event_count_171,0.005395451094955206,201403
105,event_count_172,0.10676302760839462,201403
106,event_count_173,0.008125056512653828,201403
107,event_count_180,0.017391545698046684,201403
108,event_count_182,0.0,201403
109,event_count_190,0.005448637530207634,201403
110,event_count_192,0.0,201403
111,event_count_193,0.0,201403
112,event_count_10,0.016443520784378052,201404
113,event_count_11,0.019997429102659225,201404
114,event_count_12,0.01752003096044064,201404
115,event_count_13,0.0029010558500885963,201404
116,event_count_14,0.0,201404
117,event_count_15,0.003485943889245391,201404
118,event_count_16,0.011401732452213764,201404
119,event_count_17,0.0,201404
120,event_count_20,0.1828104704618454,201404
121,event_count_23,0.02005043625831604,201404
122,event_count_25,0.0023679668083786964,201404
123,event_count_26,0.007487646304070949,201404
124,event_count_30,0.0025328497868031268,201404
125,event_count_31,0.017022719606757164,201404
126,event_count_33,0.0,201404
127,event_count_35,0.14173133671283722,201404
128,event_count_36,0.02563391998410225,201404
129,event_count_40,0.007307969965040685,201404
130,event_count_42,0.012311442755162716,201404
131,event_count_43,0.039365362375974655,201404
132,event_count_46,0.005330838728696108,201404
133,event_count_50,0.0,201404
134,event_count_51,0.00647649122402072,201404
135,event_count_57,0.005823997780680656,201404
136,event_count_60,0.0,201404
137,event_count_61,0.009592332877218723,201404
138,event_count_70,0.0,201404
139,event_count_71,0.09350112825632097,201404
140,event_count_72,0.005017171148210764,201404
141,event_count_73,0.0025795181281864643,201404
142,event_count_80,0.02117820456624031,201404
143,event_count_83,0.009822419844567776,201404
144,event_count_84,0.002590248826891184,201404
145,event_count_87,0.0,201404
146,event_count_90,0.0,201404
147,event_count_100,0.0013757176930084825,201404
148,event_count_110,0.0,201404
149,event_count_111,0.006964438129216433,201404
150,event_count_112,0.08639234304428099,201404
151,event_count_114,0.0,201404
152,event_count_120,0.005049197003245354,201404
153,event_count_125,0.0,201404
154,event_count_128,0.029859159141778942,201404
155,event_count_130,0.028927939012646675,201404
156,event_count_138,0.003162481123581529,201404
157,event_count_141,0.012080533429980278,201404
158,event_count_154,0.0,201404
159,event_count_160,0.00023914493795018643,201404
160,event_count_171,0.005371343810111284,201404
161,event_count_172,0.09932245314121246,201404
162,event_count_173,0.007561466190963981,201404
163,event_count_180,0.017394501715898514,201404
164,event_count_182,0.0,201404
165,event_count_190,0.004015045240521431,201404
166,event_count_192,0.0,201404
167,event_count_193,0.0,201404
168,event_count_10,0.01107909344136715,201405
169,event_count_11,0.013639073818922045,201405
170,event_count_12,0.01682550460100174,201405
171,event_count_13,0.00356967537663877,201405
172,event_count_14,0.0,201405
173,event_count_15,0.006043757311999798,201405
174,event_count_16,0.009156242944300176,201405
175,event_count_17,4.188061211607419e-05,201405
176,event_count_20,0.27738916873931885,201405
177,event_count_23,0.020368758589029312,201405
178,event_count_25,0.0040952800773084155,201405
179,event_count_26,0.009921773336827757,201405
180,event_count_30,0.0015604698564857244,201405
181,event_count_31,0.00923336111009121,201405
182,event_count_33,0.0,201405
183,event_count_35,0.1293957233428955,201405
184,event_count_36,0.0608520433306694,201405
185,event_count_40,0.005029475316405296,201405
186,event_count_42,0.006159352604299785,201405
187,event_count_43,0.0,201405
188,event_count_46,0.0054304967634379855,201405
189,event_count_50,0.0,201405
190,event_count_51,0.01327239815145731,201405
191,event_count_57,0.004931567702442408,201405
192,event_count_60,0.0,201405
193,event_count_61,0.00410369411110878,201405
194,event_count_70,0.0,201405
195,event_count_71,0.11028406769037248,201405
196,event_count_72,0.008043196052312851,201405
197,event_count_73,0.002164105419069529,201405
198,event_count_80,0.014341220259666445,201405
199,event_count_83,0.010730057023465632,201405
200,event_count_84,0.0,201405
201,event_count_87,0.0,201405
202,event_count_90,0.0,201405
203,event_count_100,0.006579200271517038,201405
204,event_count_110,0.0,201405
205,event_count_111,0.00756707787513733,201405
206,event_count_112,0.06407547742128372,201405
207,event_count_114,0.0,201405
208,event_count_120,0.006791187450289725,201405
209,event_count_125,0.0,201405
210,event_count_128,0.017206305637955666,201405
211,event_count_130,0.035380225628614426,201405
212,event_count_138,0.0019307113252580168,201405
213,event_count_141,0.019650423899292942,201405
214,event_count_154,0.0,201405
215,event_count_160,0.0,201405
216,event_count_171,0.004635851830244064,201405
217,event_count_172,0.050616007298231125,201405
218,event_count_173,0.0067808483727276325,201405
219,event_count_180,0.009585510939359665,201405
220,event_count_182,0.0,201405
221,event_count_190,0.011539810337126257,201405
222,event_count_192,0.0,201405
223,event_count_193,0.0,201405
224,event_count_10,0.004376326221972704,201406
225,event_count_11,0.008414744399487972,201406
226,event_count_12,0.02707866206765175,201406
227,event_count_13,0.0003871861845254898,201406
228,event_count_14,0.0,201406
229,event_count_15,0.002621205756440759,201406
230,event_count_16,0.06608667224645615,201406
231,event_count_17,0.0,201406
232,event_count_20,0.21300701797008514,201406
233,event_count_23,0.012489299289882185,201406
234,event_count_25,0.012609350495040415,201406
235,event_count_26,0.00656408304348588,201406
236,event_count_30,0.002166855614632368,201406
237,event_count_31,0.004168964456766844,201406
238,event_count_33,0.0,201406
239,event_count_35,0.1580166220664978,201406
240,event_count_36,0.06535220146179199,201406
241,event_count_40,0.008562820963561535,201406
242,event_count_42,0.007932260632514955,201406
243,event_count_43,0.0,201406
244,event_count_46,0.0040589594282209865,201406
245,event_count_50,0.0,201406
246,event_count_51,0.011402225121855736,201406
247,event_count_57,0.007735755760222673,201406
248,event_count_60,0.0,201406
249,event_count_61,0.0062609980814158925,201406
250,event_count_70,0.0,201406
251,event_count_71,0.12329674512147905,201406
252,event_count_72,0.0073823402635753155,201406
253,event_count_73,0.0037183454260230064,201406
254,event_count_80,0.003412420162931085,201406
255,event_count_83,0.0072489953599870205,201406
256,event_count_84,0.0,201406
257,event_count_87,0.0,201406
258,event_count_90,0.0,201406
259,event_count_100,0.005554152652621268,201406
260,event_count_110,0.0,201406
261,event_count_111,0.003300636308267713,201406
262,event_count_112,0.05790095776319504,201406
263,event_count_114,0.0,201406
264,event_count_120,0.01009463332593441,201406
265,event_count_125,0.0,201406
266,event_count_128,0.025096766650676727,201406
267,event_count_130,0.04039022326469421,201406
268,event_count_138,9.437849803362042e-05,201406
269,event_count_141,0.00575095834210515,201406
270,event_count_154,0.0,201406
271,event_count_160,0.0,201406
272,event_count_171,0.0014620519941672685,201406
273,event_count_172,0.053309224545955665,201406
274,event_count_173,0.007347176782786845,201406
275,event_count_180,0.009776259772479534,201406
276,event_count_182,0.0,201406
277,event_count_190,0.005571554880589247,201406
278,event_count_192,0.0,201406
279,event_count_193,0.0,201406
280,event_count_10,0.009491045959293842,201407
281,event_count_11,0.008928126655519009,201407
