,Variable,Importance
0,event_count_193,0.008706629276275635
1,event_count_192,0.0038050604052841663
2,event_count_190,0.008378304541110992
3,event_count_186,0.004356267396360636
4,event_count_182,0.0006480867159552872
5,event_count_180,0.019884400069713593
6,event_count_174,0.0012038621352985501
7,event_count_173,0.042544711381196976
8,event_count_172,0.0036315566394478083
9,event_count_171,0.0013053864240646362
10,event_count_161,0.014811198227107525
11,event_count_160,0.0005414858460426331
12,event_count_141,0.0046548377722501755
13,event_count_130,0.00637543061748147
14,event_count_120,0.005808618385344744
15,event_count_114,0.02662978507578373
16,event_count_112,0.048470426350831985
17,event_count_111,0.015045411884784698
18,event_count_110,0.0021286080591380596
19,event_count_100,0.0012772948248311877
20,event_count_90,0.06372703611850739
21,event_count_87,0.0012193595757707953
22,event_count_84,0.009259701706469059
23,event_count_83,0.00040078736492432654
24,event_count_81,0.00019619258819147944
25,event_count_80,0.0029532930348068476
26,event_count_73,0.003354150801897049
27,event_count_72,0.004004056099802256
28,event_count_71,0.03267223760485649
29,event_count_70,0.06025496870279312
30,event_count_61,0.004580132197588682
31,event_count_60,0.012896887958049774
32,event_count_57,0.0022122273221611977
33,event_count_51,0.16153928637504578
34,event_count_50,0.018155016005039215
35,event_count_46,0.04748871549963951
36,event_count_43,0.04040447995066643
37,event_count_42,0.006286143325269222
38,event_count_40,0.004273809492588043
39,event_count_36,0.05616302043199539
40,event_count_35,0.004763271193951368
41,event_count_33,0.004868826828896999
42,event_count_31,0.016682013869285583
43,event_count_30,0.011107238940894604
44,event_count_26,0.00030629817047156394
45,event_count_23,0.0010178942466154695
46,event_count_21,0.0020873872563242912
47,event_count_20,0.1664813607931137
48,event_count_17,0.0037753155920654535
49,event_count_16,0.002845101524144411
50,event_count_15,0.017588943243026733
51,event_count_14,0.0009160111076198518
52,event_count_13,0.005322650540620089
53,event_count_12,0.0021428600884974003
54,event_count_11,0.005262566264718771
55,event_count_10,0.002583455992862582
