,Variable,Importance
0,event_count_193,0.001540592173114419
1,event_count_192,0.0
2,event_count_190,0.0
3,event_count_186,0.059357985854148865
4,event_count_182,0.007796317804604769
5,event_count_180,0.05952173471450806
6,event_count_174,0.032743629068136215
7,event_count_173,0.019703038036823273
8,event_count_172,0.0015677156625315547
9,event_count_171,0.001116192783229053
10,event_count_160,0.0012735869968309999
11,event_count_154,0.00666645634919405
12,event_count_141,0.0002745226083789021
13,event_count_138,0.0141765670850873
14,event_count_130,0.01410084217786789
15,event_count_125,0.016100933775305748
16,event_count_120,0.009997955523431301
17,event_count_114,0.012018326669931412
18,event_count_112,0.0026854700408875942
19,event_count_111,0.002028177957981825
20,event_count_110,0.0016921258065849543
21,event_count_100,0.006797016132622957
22,event_count_90,0.05504794418811798
23,event_count_87,0.045947715640068054
24,event_count_84,0.008382544852793217
25,event_count_83,0.0
26,event_count_81,0.0
27,event_count_80,0.034427013248205185
28,event_count_73,0.049700506031513214
29,event_count_72,0.01551078911870718
30,event_count_71,0.010374670848250389
31,event_count_70,0.0005292893620207906
32,event_count_61,0.006718003191053867
33,event_count_60,0.0010142511455342174
34,event_count_57,0.009157161228358746
35,event_count_54,0.0005250307149253786
36,event_count_52,0.00019609948503784835
37,event_count_51,0.00019806237833108753
38,event_count_50,0.011435003019869328
39,event_count_46,0.0008556605316698551
40,event_count_45,0.0002489436010364443
41,event_count_44,0.0004453166911844164
42,event_count_43,0.028653061017394066
43,event_count_42,0.027203639969229698
44,event_count_40,0.1063622534275055
45,event_count_36,0.010171131230890751
46,event_count_35,0.005832452327013016
47,event_count_33,0.0014802238438278437
48,event_count_32,0.02297898754477501
49,event_count_31,0.020470254123210907
50,event_count_30,0.030128387734293938
51,event_count_27,0.0
52,event_count_26,0.007171446457505226
53,event_count_25,0.0
54,event_count_23,0.00026299827732145786
55,event_count_22,0.02512313798069954
56,event_count_21,0.016404256224632263
57,event_count_20,0.0017820690991356969
58,event_count_18,0.0
59,event_count_17,0.1542041003704071
60,event_count_16,0.002788810757920146
61,event_count_15,0.002609343035146594
62,event_count_14,0.0011630350491032004
63,event_count_13,0.0037041001487523317
64,event_count_12,0.0
65,event_count_11,0.008914725854992867
66,event_count_10,0.0007184229325503111
