,Variable,Importance
0,event_count_195,0.0020510973408818245
1,event_count_194,0.0005678597372025251
2,event_count_193,0.031554222106933594
3,event_count_192,0.006967476569116116
4,event_count_191,0.030801871791481972
5,event_count_190,0.005361516959965229
6,event_count_186,0.000908733403775841
7,event_count_183,0.012601399794220924
8,event_count_182,0.0
9,event_count_181,0.0031398762948811054
10,event_count_180,0.0005817670025862753
11,event_count_174,0.0029563431162387133
12,event_count_173,0.007342557888478041
13,event_count_172,0.002608928130939603
14,event_count_171,0.013340204954147339
15,event_count_170,0.0
16,event_count_164,0.005695362109690905
17,event_count_163,0.06693294644355774
18,event_count_161,0.031022297218441963
19,event_count_160,0.0007083797827363014
20,event_count_154,0.0
21,event_count_150,0.06919459253549576
22,event_count_143,6.220593058969826e-05
23,event_count_141,0.0
24,event_count_138,0.0022672400809824467
25,event_count_131,0.03755189850926399
26,event_count_130,0.00998682714998722
27,event_count_128,0.0044450159184634686
28,event_count_127,0.008166161365807056
29,event_count_125,0.0019082979997619987
30,event_count_124,0.001726844348013401
31,event_count_120,0.012333245016634464
32,event_count_115,0.0
33,event_count_114,0.004598541650921106
34,event_count_113,0.00024185357324313372
35,event_count_112,0.014485868625342846
36,event_count_111,0.0
37,event_count_110,0.008161718025803566
38,event_count_105,0.0002384603867540136
39,event_count_104,0.013773717917501926
40,event_count_101,0.0
41,event_count_100,0.000112924724817276
42,event_count_90,0.0026996980886906385
43,event_count_87,0.0017657967982813716
44,event_count_84,0.008404810912907124
45,event_count_83,0.006149521097540855
46,event_count_81,0.0049396962858736515
47,event_count_80,0.0013451197883114219
48,event_count_75,0.0
49,event_count_73,0.0018255230970680714
50,event_count_72,0.004694625735282898
51,event_count_71,0.005457636900246143
52,event_count_70,0.017181070521473885
53,event_count_64,0.0
54,event_count_62,0.0
55,event_count_61,0.016113372519612312
56,event_count_60,0.06886239349842072
57,event_count_57,0.01930404081940651
58,event_count_55,0.0
59,event_count_54,0.0020681193564087152
60,event_count_52,0.015976784750819206
61,event_count_51,0.002923456020653248
62,event_count_50,0.023993879556655884
63,event_count_46,0.0026860672514885664
64,event_count_45,0.031667668372392654
65,event_count_44,0.013490802608430386
66,event_count_43,0.001513370661996305
67,event_count_42,0.0
68,event_count_41,0.01729152351617813
69,event_count_40,0.013607013039290905
70,event_count_39,0.012785099446773529
71,event_count_37,0.0033396719954907894
72,event_count_36,0.017092466354370117
73,event_count_35,0.0006851886282674968
74,event_count_33,0.0
75,event_count_32,0.0
76,event_count_31,0.0019979013595730066
77,event_count_30,0.001001769327558577
78,event_count_28,0.028475428000092506
79,event_count_27,0.003475939854979515
80,event_count_26,0.0
81,event_count_25,0.006805017124861479
82,event_count_23,0.0029396330937743187
83,event_count_22,0.014287881553173065
84,event_count_21,0.011513466946780682
85,event_count_20,0.0
86,event_count_18,0.0019102668156847358
87,event_count_17,0.0
88,event_count_16,0.17458000779151917
89,event_count_15,0.006020602770149708
90,event_count_14,0.0012189956614747643
91,event_count_13,0.0020623584277927876
92,event_count_12,0.002090110909193754
93,event_count_11,0.00701449578627944
94,event_count_10,0.002343436935916543
