,Variable,Importance
0,event_count_193,0.05623055249452591
1,event_count_192,0.0022995516192167997
2,event_count_190,0.009779305197298527
3,event_count_186,0.01876494660973549
4,event_count_182,0.004451417364180088
5,event_count_181,0.03664601221680641
6,event_count_180,0.008100124076008797
7,event_count_174,0.0011975608067587018
8,event_count_173,0.00244861445389688
9,event_count_172,0.05383601039648056
10,event_count_171,0.008812875486910343
11,event_count_164,0.008715633302927017
12,event_count_163,0.004212013445794582
13,event_count_161,0.001938480301760137
14,event_count_160,0.014336718246340752
15,event_count_154,0.00713106757029891
16,event_count_143,0.011679098010063171
17,event_count_141,0.0017453127074986696
18,event_count_140,0.029610320925712585
19,event_count_138,0.022743940353393555
20,event_count_130,0.002414872869849205
21,event_count_129,0.005398106761276722
22,event_count_128,0.003260192461311817
23,event_count_125,0.0018460090504959226
24,event_count_124,0.01765299215912819
25,event_count_120,0.016636008396744728
26,event_count_114,0.0023187550250440836
27,event_count_112,0.007145566400140524
28,event_count_111,0.006482540629804134
29,event_count_110,0.02594437636435032
30,event_count_104,0.015077013522386551
31,event_count_101,0.0
32,event_count_100,0.00014653459948021919
33,event_count_90,0.011988806538283825
34,event_count_87,0.001953809754922986
35,event_count_84,0.004516389686614275
36,event_count_83,0.00012093380064470693
37,event_count_81,0.004302801098674536
38,event_count_80,0.00580732524394989
39,event_count_75,0.0046209837310016155
40,event_count_73,0.02121688611805439
41,event_count_72,0.002253248356282711
42,event_count_71,0.018625648692250252
43,event_count_70,0.002071417635306716
44,event_count_62,0.0013114645844325423
45,event_count_61,0.02415739744901657
46,event_count_60,0.04656626656651497
47,event_count_57,0.029875874519348145
48,event_count_55,0.0
49,event_count_54,0.0026728769298642874
50,event_count_52,0.038976047188043594
51,event_count_51,0.03491916507482529
52,event_count_50,0.0356643907725811
53,event_count_46,0.0024297956842929125
54,event_count_45,0.015610828064382076
55,event_count_44,0.004280954599380493
56,event_count_43,0.0082173403352499
57,event_count_42,0.021702731028199196
58,event_count_41,0.005679529160261154
59,event_count_40,0.01565926894545555
60,event_count_37,0.0
61,event_count_36,0.013122819364070892
62,event_count_35,0.004402723629027605
63,event_count_33,0.045426998287439346
64,event_count_32,0.017045069485902786
65,event_count_31,0.0027004992589354515
66,event_count_30,0.002116055693477392
67,event_count_26,0.0016281824791803956
68,event_count_25,0.006761662196367979
69,event_count_23,0.002421789802610874
70,event_count_22,0.0022107602562755346
71,event_count_21,0.0030927720945328474
72,event_count_20,0.009020156227052212
73,event_count_18,7.768529758322984e-05
74,event_count_17,0.02543889544904232
75,event_count_16,0.002093185670673847
76,event_count_15,0.04628213867545128
77,event_count_14,0.007265743333846331
78,event_count_13,0.007791893091052771
79,event_count_12,0.0
80,event_count_11,0.02128843404352665
81,event_count_10,0.005607810337096453
