,Variable,Importance
0,event_count_202,0.02614966593682766
1,event_count_193,0.03828931972384453
2,event_count_192,0.002230817684903741
3,event_count_190,0.006126212887465954
4,event_count_186,0.015709908679127693
5,event_count_182,0.04825500026345253
6,event_count_181,0.0036469819024205208
7,event_count_180,0.0021733350586146116
8,event_count_174,0.056296590715646744
9,event_count_173,0.001795037416741252
10,event_count_172,0.00032059624209068716
11,event_count_171,0.0029643781017512083
12,event_count_163,0.044099319726228714
13,event_count_160,0.010342196561396122
14,event_count_154,0.008652410469949245
15,event_count_145,0.00020646519260481
16,event_count_141,0.012318320572376251
17,event_count_138,0.0019517508335411549
18,event_count_130,0.0022232902701944113
19,event_count_128,0.0004124762781430036
20,event_count_125,0.003997406922280788
21,event_count_120,0.008473188616335392
22,event_count_114,0.00232047401368618
23,event_count_112,0.03505784273147583
24,event_count_111,0.0005132090300321579
25,event_count_110,0.005899643991142511
26,event_count_100,0.004888006020337343
27,event_count_90,0.014564700424671173
28,event_count_87,0.0010779007570818067
29,event_count_86,0.0036702463403344154
30,event_count_84,0.003009695326909423
31,event_count_83,0.015589586459100246
32,event_count_81,0.025336895138025284
33,event_count_80,0.009080021642148495
34,event_count_75,0.015775054693222046
35,event_count_74,0.009765906259417534
36,event_count_73,0.015947086736559868
37,event_count_72,0.00857190415263176
38,event_count_71,0.06769154965877533
39,event_count_70,0.017124103382229805
40,event_count_62,0.012697209604084492
41,event_count_61,4.861837442149408e-05
42,event_count_60,0.0018326144199818373
43,event_count_57,0.001428157091140747
44,event_count_51,0.007078872062265873
45,event_count_50,0.00805948581546545
46,event_count_46,0.0324489027261734
47,event_count_45,0.01628745347261429
48,event_count_43,0.001308405539020896
49,event_count_42,0.007424210198223591
50,event_count_41,0.00507312873378396
51,event_count_40,0.00018897454719990492
52,event_count_36,0.005166914779692888
53,event_count_35,0.007515013217926025
54,event_count_33,0.012226425111293793
55,event_count_31,0.0023330245167016983
56,event_count_30,0.037620995193719864
57,event_count_26,0.007611017674207687
58,event_count_25,0.00865344237536192
59,event_count_23,0.008151906542479992
60,event_count_22,0.14368274807929993
61,event_count_21,0.005800231825560331
62,event_count_20,0.014920332469046116
63,event_count_18,0.005183068104088306
64,event_count_17,0.06093805655837059
65,event_count_16,0.0037686903961002827
66,event_count_15,0.010648731142282486
67,event_count_14,0.0017497905064374208
68,event_count_13,0.0065907142125070095
69,event_count_12,0.007723385002464056
70,event_count_11,0.0007852457347325981
71,event_count_10,0.0025357864797115326
