,Variable,Importance
0,event_count_193,0.01821138523519039
1,event_count_192,0.0004634005017578602
2,event_count_190,0.001284386613406241
3,event_count_186,0.09050151705741882
4,event_count_182,0.0007170176249928772
5,event_count_181,0.003014723537489772
6,event_count_180,0.014755263924598694
7,event_count_174,0.0006141220801509917
8,event_count_173,0.020356042310595512
9,event_count_172,0.003317747265100479
10,event_count_171,0.017326755449175835
11,event_count_162,0.008408455178141594
12,event_count_161,0.0025363436434417963
13,event_count_160,0.002789167920127511
14,event_count_154,0.006092519033700228
15,event_count_145,0.003920546267181635
16,event_count_141,0.004134689923375845
17,event_count_138,0.0047571309842169285
18,event_count_130,0.00084844627417624
19,event_count_128,0.00013372574176173657
20,event_count_125,0.0013940160861238837
21,event_count_120,0.008701573126018047
22,event_count_114,0.0011636748677119613
23,event_count_112,0.006555902771651745
24,event_count_111,0.002397918375208974
25,event_count_110,0.005202211905270815
26,event_count_104,0.0022102445363998413
27,event_count_101,3.096869113505818e-05
28,event_count_100,0.007235092110931873
29,event_count_90,0.016503136605024338
30,event_count_87,0.0010308208875358105
31,event_count_84,0.05353790149092674
32,event_count_83,0.01113987434655428
33,event_count_81,0.014931847341358662
34,event_count_80,0.0004691559006460011
35,event_count_73,0.07847020775079727
36,event_count_72,0.0046343812718987465
37,event_count_71,0.0020164453890174627
38,event_count_70,0.003594374982640147
39,event_count_61,0.07066157460212708
40,event_count_60,0.004592414479702711
41,event_count_57,0.06243961304426193
42,event_count_55,0.0006419065757654607
43,event_count_52,0.005624160636216402
44,event_count_51,0.013178128749132156
45,event_count_50,0.00048687803791835904
46,event_count_46,0.018203752115368843
47,event_count_45,0.0013363658217713237
48,event_count_43,0.10207880288362503
49,event_count_42,0.046056754887104034
50,event_count_40,0.0026108017191290855
51,event_count_36,0.02078760229051113
52,event_count_35,0.0001753855322021991
53,event_count_33,0.001690898323431611
54,event_count_32,0.024549610912799835
55,event_count_31,0.0006320939864963293
56,event_count_30,0.016140561550855637
57,event_count_26,0.004633339121937752
58,event_count_25,0.000996892573311925
59,event_count_24,0.0007617086521349847
60,event_count_23,0.041273295879364014
61,event_count_22,0.0003542426857165992
62,event_count_21,0.0036478121764957905
63,event_count_20,0.028984198346734047
64,event_count_18,0.0015936695272102952
65,event_count_17,0.008125311695039272
66,event_count_16,0.0021974972914904356
67,event_count_15,0.007686397526413202
68,event_count_14,0.016313832253217697
69,event_count_13,0.0038651968352496624
70,event_count_12,0.01390803512185812
71,event_count_11,0.008661364205181599
72,event_count_10,0.03970678150653839
